,type,campaign_id,name,status,send_time,scheduled_at,send_channel,bounce_rate,click_rate,conversion_rate,delivery_rate,open_rate,spam_complaint_rate,unsubscribe_rate,average_order_value,opens,clicks,delivered,spam_complaints,unsubscribes,bounced,account
52,campaign,01KDQ6B1XWZNQMHD37BC85RSZ1,THANK YOU VOUCHER [AU],Sent,2026-01-01T00:00:00+00:00,2025-12-30T08:36:48.450857+00:00,email,0.00737,0.01641,0,0.99263,0.31602,0.00039,0.00156,0,1208,57,2560,1,4,19,AU Account
74,campaign,01KDQ6SNHTBRVZAW9HV39PB2XE,THANK YOU VOUCHER [HK],Sent,2026-01-01T00:00:00+00:00,2025-12-30T08:47:50.639441+00:00,email,0.01077,0.01633,0,0.98923,0.28131,0,0.00181,0,205,17,551,0,1,6,HK Account
33,campaign,01KDQ66PFW3BWPYR9DD54P7D9D,THANK YOU VOUCHER [INTL],Sent,2026-01-01T00:00:00+00:00,2025-12-30T08:34:35.745756+00:00,email,0.00383,0.00571,0.00012,0.99617,0.21099,0.00012,0.00112,152.10001,2419,77,8062,1,9,31,INTL Account
95,campaign,01KDQ6FE7GYY4PBWGYBE46SSDG,THANK YOU VOUCHER [TW],Sent,2026-01-01T00:00:00+00:00,2025-12-30T08:47:02.373317+00:00,email,0.00394,0.00988,0,0.99606,0.22134,0,0,0,135,6,506,0,0,2,TW Account
65,campaign,01KC3QNSN0MXP6V2990P4C5M9P,12 DEC: NEW ARRIVAL AND BEST SELLER [AU],Sent,2025-12-10T18:00:00+00:00,2025-12-10T09:08:25.031877+00:00,email,0.01579,0.03285,0.00038,0.98421,0.29756,0,0.00458,118.9,1078,108,2618,0,12,42,AU Account
86,campaign,01KC3RAR5QGVJE2V4Y4F7XCR3J,12 DEC: NEW ARRIVAL AND BEST SELLER [HK],Sent,2025-12-10T18:00:00+00:00,2025-12-10T09:18:24.423819+00:00,email,0.02443,0.00894,0,0.97557,0.28623,0,0.00179,0,200,5,559,0,1,14,HK Account
44,campaign,01KC31477F5E7VN8ZPEBWMC9ZP,12 DEC: NEW ARRIVAL AND BEST SELLER [INTL],Sent,2025-12-10T18:00:00+00:00,2025-12-10T08:57:00.889183+00:00,email,0.00065,0.01729,0,0.99935,0.56085,0,0.00033,0,2327,63,3065,0,1,2,INTL Account
104,campaign,01KC3RX56A2CS65G1CBG2KBJ06,12 DEC: NEW ARRIVAL AND BEST SELLER [TW],Sent,2025-12-10T18:00:00+00:00,2025-12-10T09:22:34.304454+00:00,email,0.01156,0.00585,0,0.98844,0.21442,0,0.0039,0,136,6,513,0,2,6,TW Account
0,campaign,01KEE1Z3PTQ1ZZ1XSPWHP2G2MY,PROMO [SG],Sent,2026-01-10T10:00:00+00:00,2026-01-09T06:47:11.797903+00:00,email,0.00067,0.01465,6.00E-05,0.99933,0.56098,4.00E-05,0.00052,136.2,36334,1007,47715,2,25,32,SG Account
21,campaign,01KC62962QFMCK77B2M0CEMCKP,12.12 PROMO [SG],Sent,2025-12-11T22:00:00+00:00,2025-12-11T06:59:35.356538+00:00,email,0.00026,0.06496,0.00116,0.99974,0.65764,0,0.00026,117.63222,7114,693,7790,0,2,2,SG Account
64,campaign,01KCGEQV9T6ZN2ENTP6CA0EP3Q,XMAS PROMO 2 [AU],Sent,2025-12-15T18:00:00+00:00,2025-12-15T07:35:32.311256+00:00,email,0.01436,0.01994,0.00115,0.98564,0.28067,0.00038,0.00307,180.41334,1022,81,2608,1,8,38,AU Account
85,campaign,01KCGF2T51WJV0AZR1HBKB0F2Q,XMAS PROMO 2 [HK],Sent,2025-12-15T18:00:00+00:00,2025-12-15T07:42:17.870142+00:00,email,0.02618,0.02151,0,0.97382,0.29032,0,0.00179,0,216,17,558,0,1,15,HK Account
